"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"BCOM","B Communications Ltd.","1.46","$54.42M","n/a","Consumer Services","Telecommunications Equipment","https://www.nasdaq.com/symbol/bcom",
"BGS","B&G Foods, Inc.","22.71","$1.48B","n/a","Consumer Non-Durables","Packaged Foods","https://www.nasdaq.com/symbol/bgs",
"RILY","B. Riley Financial, Inc.","19.94","$528.93M","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/rily",
"RILYG","B. Riley Financial, Inc.","25.02","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/rilyg",
"RILYH","B. Riley Financial, Inc.","25.9","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/rilyh",
"RILYI","B. Riley Financial, Inc.","25.47","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/rilyi",
"RILYL","B. Riley Financial, Inc.","25.615","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/rilyl",
"RILYO","B. Riley Financial, Inc.","25.2097","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/rilyo",
"RILYZ","B. Riley Financial, Inc.","25.5099","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/rilyz",
"BRPM","B. Riley Principal Merger Corp.","9.8126","$180.86M","2019","Finance","Business Services","https://www.nasdaq.com/symbol/brpm",
"BRPM.U","B. Riley Principal Merger Corp.","n/a","n/a","2019","n/a","n/a","https://www.nasdaq.com/symbol/brpm.u",
"BRPM.WS","B. Riley Principal Merger Corp.","n/a","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/brpm.ws",
"BOSC","B.O.S. Better Online Solutions","2.63","$10.15M","n/a","Technology","Computer Communications Equipment","https://www.nasdaq.com/symbol/bosc",
"BTG","B2Gold Corp","2.85","$2.86B","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/btg",
"BW","Babcock","0.42","$70.93M","2015","Capital Goods","Building Products","https://www.nasdaq.com/symbol/bw",
"BGH","Babson Global Short Duration High Yield Fund","18.09","$362.85M","2012","n/a","n/a","https://www.nasdaq.com/symbol/bgh",
"BMI","Badger Meter, Inc.","57.44","$1.67B","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/bmi",
"BIDU","Baidu, Inc.","117.8","$41.23B","2005","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/bidu",
"BCSF","Bain Capital Specialty Finance, Inc.","18.88","$975.15M","2018","n/a","n/a","https://www.nasdaq.com/symbol/bcsf",
"BHGE","Baker Hughes, a GE company","23.32","$24.19B","2017","Energy","Metal Fabrications","https://www.nasdaq.com/symbol/bhge",
"BCPC","Balchem Corporation","97.5","$3.15B","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/bcpc",
"BBN","BalckRock Taxable Municipal Bond Trust","23.18","$1.32B","2010","n/a","n/a","https://www.nasdaq.com/symbol/bbn",
"BLL","Ball Corporation","66.66","$22.31B","n/a","Consumer Durables","Containers/Packaging","https://www.nasdaq.com/symbol/bll",
"BTN","Ballantyne Strong, Inc","3.01","$43.7M","n/a","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/btn",
"BLDP","Ballard Power Systems, Inc.","3.5","$813.16M","n/a","Energy","Industrial Machinery/Components","https://www.nasdaq.com/symbol/bldp",
"BANC","Banc of California, Inc.","14.02","$712.84M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/banc",
"BANC^D","Banc of California, Inc.","25.82","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/banc^d",
"BANC^E","Banc of California, Inc.","26.29","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/banc^e",
"BANF","BancFirst Corporation","56.83","$1.85B","1993","Finance","Major Banks","https://www.nasdaq.com/symbol/banf",
"BANFP","BancFirst Corporation","26.5396","$26.54M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/banfp",
"BBVA","Banco Bilbao Viscaya Argentaria S.A.","5.59","$37.12B","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/bbva",
"BBD","Banco Bradesco Sa","9.52","$76.47B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/bbd",
"BBDO","Banco Bradesco Sa","8.31","$66.75B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/bbdo",
"BCH","Banco De Chile","28.75","$14.52B","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/bch",
"BLX","Banco Latinoamericano de Comercio Exterior, S.A.","20.75","$820.42M","1992","Finance","Commercial Banks","https://www.nasdaq.com/symbol/blx",
"BSBR","Banco Santander Brasil SA","11.58","$86.5B","2009","Finance","Commercial Banks","https://www.nasdaq.com/symbol/bsbr",
"BSAC","Banco Santander Chile","29.28","$13.79B","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/bsac",
