"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"DHI","D.R. Horton, Inc.","44.85","$16.74B","n/a","Capital Goods","Homebuilding","https://www.nasdaq.com/symbol/dhi",
"DJCO","Daily Journal Corp. (S.C.)","223.45","$308.53M","n/a","Consumer Services","Newspapers/Magazines","https://www.nasdaq.com/symbol/djco",
"DAKT","Daktronics, Inc.","6.17","$278.77M","1994","Consumer Durables","Miscellaneous manufacturing industries","https://www.nasdaq.com/symbol/dakt",
"DAN","Dana Incorporated","17.11","$2.46B","n/a","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/dan",
"DHR","Danaher Corporation","142.54","$102.05B","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/dhr",
"DHR^A","Danaher Corporation","1113.2","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dhr^a",
"DAC","Danaos Corporation","8.68","$132.26M","2006","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/dac",
"DQ","DAQO New Energy Corp.","44.12","$585.97M","2010","Technology","Semiconductors","https://www.nasdaq.com/symbol/dq",
"DRI","Darden Restaurants, Inc.","117.41","$14.44B","n/a","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/dri",
"DARE","Dare Bioscience, Inc.","0.83","$13.85M","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/dare",
"DRIO","DarioHealth Corp.","0.47","$17.86M","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/drio",
"DRIOW","DarioHealth Corp.","0.0173","n/a","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/driow",
"DAR","Darling Ingredients Inc.","20.14","$3.32B","n/a","Consumer Non-Durables","Packaged Foods","https://www.nasdaq.com/symbol/dar",
"DZSI","DASAN Zhone Solutions, Inc.","12.8","$212.57M","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/dzsi",
"DSKE","Daseke, Inc.","3.9","$251.53M","2015","Consumer Services","Transportation Services","https://www.nasdaq.com/symbol/dske",
"DSKEW","Daseke, Inc.","0.2053","n/a","2015","Consumer Services","Transportation Services","https://www.nasdaq.com/symbol/dskew",
"DAIO","Data I/O Corporation","4.58","$37.64M","1981","Capital Goods","Electrical Products","https://www.nasdaq.com/symbol/daio",
"DTSS","Datasea Inc.","1.45","$30.37M","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/dtss",
"PLAY","Dave & Buster&#39;s Entertainment, Inc.","38.83","$1.41B","2014","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/play",
"DTEA","DAVIDsTEA Inc.","1.31","$34.08M","2015","Consumer Non-Durables","Food Chains","https://www.nasdaq.com/symbol/dtea",
"DFNL","Davis Select Financial ETF","22.94","$144.52M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dfnl",
"DINT","Davis Select International ETF","17.525","$115.67M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dint",
"DUSA","Davis Select U.S. Equity ETF","23.25","$190.65M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dusa",
"DWLD","Davis Select Worldwide ETF","22.95","$220.32M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dwld",
"DVA","DaVita Inc.","51.27","$8.53B","n/a","Health Care","Hospital/Nursing Management","https://www.nasdaq.com/symbol/dva",
"DWSN","Dawson Geophysical Company","2.3","$53.29M","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/dwsn",
"DXR","Daxor Corporation","8.56","$32.07M","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/dxr",
"DBVT","DBV Technologies S.A.","8.44","$609.87M","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/dbvt",
"DCP","DCP Midstream LP","28.83","$4.13B","n/a","Public Utilities","Natural Gas Distribution","https://www.nasdaq.com/symbol/dcp",
"DCP^B","DCP Midstream LP","24.26","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dcp^b",
"DCP^C","DCP Midstream LP","24.83","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dcp^c",
"DDMX","DD3 Acquisition Corp.","10","$72.23M","2018","Finance","Business Services","https://www.nasdaq.com/symbol/ddmx",
"DDMXU","DD3 Acquisition Corp.","10.22","$73.82M","2018","Finance","Business Services","https://www.nasdaq.com/symbol/ddmxu",
"DDMXW","DD3 Acquisition Corp.","0.3","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/ddmxw",
"DF","Dean Foods Company","1.07","$98.17M","n/a","Consumer Non-Durables","Packaged Foods","https://www.nasdaq.com/symbol/df",
"DCPH","Deciphera Pharmaceuticals, Inc.","24.47","$934.49M","2017","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/dcph",
"DECK","Deckers Outdoor Corporation","174.4","$5.08B","1993","Consumer Non-Durables","Shoe Manufacturing","https://www.nasdaq.com/symbol/deck",
"DE","Deere & Company","159.94","$50.7B","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/de",
"DFRG","Del Frisco&#39;s Restaurant Group, Inc.","6.78","$226.56M","2012","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/dfrg",
"TACO","Del Taco Restaurants, Inc.","11.47","$421.47M","2014","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/taco",
"TACOW","Del Taco Restaurants, Inc.","1.55","n/a","2014","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/tacow",
"DEX","Delaware Enhanced Global Dividend","10","$126.63M","2007","n/a","n/a","https://www.nasdaq.com/symbol/dex",
"VCF","Delaware Investments Colorado Municipal Income Fund, Inc","14.5558","$70.41M","1993","n/a","n/a","https://www.nasdaq.com/symbol/vcf",
"DDF","Delaware Investments Dividend & Income Fund, Inc.","14.25","$109.56M","1993","n/a","n/a","https://www.nasdaq.com/symbol/ddf",
"VFL","Delaware Investments Florida Insured Municipal Income Fund","13.1455","$59.53M","1993","n/a","n/a","https://www.nasdaq.com/symbol/vfl",
"VMM","Delaware Investments Minnesota Municipal Income Fund II, Inc.","12.8899","$148.3M","1993","n/a","n/a","https://www.nasdaq.com/symbol/vmm",
"DKL","Delek Logistics Partners, L.P.","30.58","$746.38M","2012","Energy","Natural Gas Distribution","https://www.nasdaq.com/symbol/dkl",
"DK","Delek US Holdings, Inc.","38.06","$2.93B","2017","Energy","Integrated oil Companies","https://www.nasdaq.com/symbol/dk",
"DELL","Dell Technologies Inc.","53.42","$38.38B","2018","Technology","Computer Manufacturing","https://www.nasdaq.com/symbol/dell",
"DMPI","DelMar Pharmaceuticals, Inc.","1.64","$6.27M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/dmpi",
"DLPH","Delphi Technologies PLC","18.2","$1.6B","2017","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/dlph",
"DAL","Delta Air Lines, Inc.","56.36","$36.9B","n/a","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/dal",
"DLA","Delta Apparel, Inc.","23.93","$165.96M","n/a","Consumer Non-Durables","Apparel","https://www.nasdaq.com/symbol/dla",
"DLX","Deluxe Corporation","41.93","$1.83B","n/a","Consumer Durables","Publishing","https://www.nasdaq.com/symbol/dlx",
"DNLI","Denali Therapeutics Inc.","19.92","$1.9B","2017","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/dnli",
"DNR","Denbury Resources Inc.","1.28","$590.37M","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/dnr",
"DNN","Denison Mine Corp","0.5131","$302.5M","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/dnn",
"DENN","Denny&#39;s Corporation","20.49","$1.24B","n/a","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/denn",
"XRAY","DENTSPLY SIRONA Inc.","57.75","$13.51B","1987","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/xray",
"DERM","Dermira, Inc.","10.02","$537.75M","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/derm",
"DBI","Designer Brands Inc.","17.76","$1.34B","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","https://www.nasdaq.com/symbol/dbi",
"DESP","Despegar.com, Corp.","13.67","$946.45M","2017","Consumer Services","Transportation Services","https://www.nasdaq.com/symbol/desp",
"DEST","Destination Maternity Corporation","1.02","$14.63M","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","https://www.nasdaq.com/symbol/dest",
"DXLG","Destination XL Group, Inc.","1.73","$86.27M","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","https://www.nasdaq.com/symbol/dxlg",
"DSWL","Deswell Industries, Inc.","2.94","$46.7M","1995","Consumer Non-Durables","Plastic Products","https://www.nasdaq.com/symbol/dswl",
"DKT","Deutsch Bk Contingent Cap Tr V","25.75","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/dkt",
"DB","Deutsche Bank AG","7.17","$14.79B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/db",
"DXB","Deutsche Bank AG","24.93","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/dxb",
"DVN","Devon Energy Corporation","26.91","$11.17B","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/dvn",
"DXCM","DexCom, Inc.","153.78","$14B","2005","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/dxcm",
"DFBH","DFB Healthcare Acquisitions Corp.","10.14","$316.88M","2018","Finance","Business Services","https://www.nasdaq.com/symbol/dfbh",
"DFBHU","DFB Healthcare Acquisitions Corp.","10.5","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/dfbhu",
"DFBHW","DFB Healthcare Acquisitions Corp.","1.25","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/dfbhw",
"DGSE","DGSE Companies, Inc.","1.3","$35M","n/a","Consumer Services","Consumer Specialties","https://www.nasdaq.com/symbol/dgse",
"DHX","DHI Group, Inc.","4.2","$231.15M","2007","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/dhx",
"DHT","DHT Holdings, Inc.","5.59","$793.78M","2005","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/dht",
"DHXM","DHX Media Ltd.","1.39","$187.54M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dhxm",
"DEO","Diageo plc","172.07","$102.11B","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","https://www.nasdaq.com/symbol/deo",
"DMAC","DiaMedica Therapeutics Inc.","3.82","$45.68M","2018","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/dmac",
"DEACU","Diamond Eagle Acquisition Corp.","10.06","$352.1M","2019","Finance","Business Services","https://www.nasdaq.com/symbol/deacu",
"DHIL","Diamond Hill Investment Group, Inc.","140.31","$490.35M","n/a","Finance","Investment Managers","https://www.nasdaq.com/symbol/dhil",
"DO","Diamond Offshore Drilling, Inc.","8.12","$1.12B","1995","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/do",
"DSSI","Diamond S Shipping Inc.","11.33","$451.96M","2019","Consumer Services","Transportation Services","https://www.nasdaq.com/symbol/dssi",
"FANG","Diamondback Energy, Inc.","104.12","$17.15B","2012","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/fang",
"DPHC","DiamondPeak Holdings Corp.","9.72","$340.2M","2019","Finance","Business Services","https://www.nasdaq.com/symbol/dphc",
"DPHCU","DiamondPeak Holdings Corp.","10.04","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/dphcu",
"DPHCW","DiamondPeak Holdings Corp.","0.75","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/dphcw",
"DRH","Diamondrock Hospitality Company","10.4","$2.1B","2005","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/drh",
"DSX","Diana Shipping inc.","3.17","$319.03M","2005","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/dsx",
"DSX^B","Diana Shipping inc.","24.93","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dsx^b",
"DRNA","Dicerna Pharmaceuticals, Inc.","15.39","$1.05B","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/drna",
"DKS","Dick&#39;s Sporting Goods Inc","33.85","$3.12B","2002","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/dks",
"DBD","Diebold Nixdorf Incorporated","9.39","$719.2M","n/a","Miscellaneous","Office Equipment/Supplies/Services","https://www.nasdaq.com/symbol/dbd",
"DFFN","Diffusion Pharmaceuticals Inc.","3","$14.09M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/dffn",
"DGII","Digi International Inc.","11.86","$332.78M","1989","Technology","Computer Communications Equipment","https://www.nasdaq.com/symbol/dgii",
"DMRC","Digimarc Corporation","51.43","$623.74M","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/dmrc",
"DRAD","Digirad Corporation","7.01","$14.24M","2004","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://www.nasdaq.com/symbol/drad",
"DGLY","Digital Ally, Inc.","1.42","$16.23M","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/dgly",
"DLR","Digital Realty Trust, Inc.","124","$25.83B","2004","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/dlr",
"DLR^C","Digital Realty Trust, Inc.","27.35","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dlr^c",
"DLR^G","Digital Realty Trust, Inc.","25.18","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dlr^g",
"DLR^I","Digital Realty Trust, Inc.","26.26","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dlr^i",
"DLR^J","Digital Realty Trust, Inc.","25.25","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dlr^j",
"DLR^K","Digital Realty Trust, Inc.","26.01","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dlr^k",
"APPS","Digital Turbine, Inc.","4.73","$386.36M","n/a","Miscellaneous","Multi-Sector Companies","https://www.nasdaq.com/symbol/apps",
"DDS","Dillard&#39;s, Inc.","58.69","$1.51B","n/a","Consumer Services","Department/Specialty Retail Stores","https://www.nasdaq.com/symbol/dds",
"DDT","Dillard&#39;s, Inc.","26.1787","n/a","n/a","Consumer Services","Department/Specialty Retail Stores","https://www.nasdaq.com/symbol/ddt",
"DCOM","Dime Community Bancshares, Inc.","18.69","$673.89M","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/dcom",
"DIN","Dine Brands Global, Inc.","96.16","$1.69B","n/a","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/din",
"DIOD","Diodes Incorporated","33.68","$1.7B","n/a","Technology","Semiconductors","https://www.nasdaq.com/symbol/diod",
"DPLO","Diplomat Pharmacy, Inc.","4.96","$370.58M","2014","Health Care","Medical/Nursing Services","https://www.nasdaq.com/symbol/dplo",
"DFS","Discover Financial Services","77.01","$24.93B","n/a","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/dfs",
"DISCA","Discovery, Inc.","30.5","$16.01B","n/a","Consumer Services","Television Services","https://www.nasdaq.com/symbol/disca",
"DISCB","Discovery, Inc.","32.9","$17.27B","n/a","Consumer Services","Television Services","https://www.nasdaq.com/symbol/discb",
"DISCK","Discovery, Inc.","28.04","$14.72B","n/a","Consumer Services","Television Services","https://www.nasdaq.com/symbol/disck",
"DISH","DISH Network Corporation","38.91","$18.28B","1995","Consumer Services","Television Services","https://www.nasdaq.com/symbol/dish",
"DVCR","Diversicare Healthcare Services Inc.","4.73","$31.61M","n/a","Health Care","Hospital/Nursing Management","https://www.nasdaq.com/symbol/dvcr",
"SAUC","Diversified Restaurant Holdings, Inc.","0.8475","$28.15M","n/a","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/sauc",
"DNI","Dividend and Income Fund","11.5","$142.45M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dni",
"DLHC","DLH Holdings Corp.","5.03","$60.54M","n/a","Technology","Professional Services","https://www.nasdaq.com/symbol/dlhc",
"BOOM","DMC Global Inc.","61.88","$927.3M","n/a","Capital Goods","Industrial Specialties","https://www.nasdaq.com/symbol/boom",
"DNBF","DNB Financial Corp","45.05","$195.12M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/dnbf",
"DSS","Document Security Systems, Inc.","0.47","$8.46M","n/a","Consumer Durables","Containers/Packaging","https://www.nasdaq.com/symbol/dss",
"DOCU","DocuSign, Inc.","53.09","$9.23B","2018","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/docu",
"DOGZ","Dogness (International) Corporation","2.48","$64.27M","2017","Consumer Durables","Miscellaneous manufacturing industries","https://www.nasdaq.com/symbol/dogz",
"DLB","Dolby Laboratories","64.33","$4.13B","2005","Miscellaneous","Multi-Sector Companies","https://www.nasdaq.com/symbol/dlb",
