"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"FNB","F.N.B. Corporation","11.4","$3.7B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/fnb",
"FNB^E","F.N.B. Corporation","28.15","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/fnb^e",
"FFIV","F5 Networks, Inc.","141.44","$8.44B","1999","Technology","Computer Communications Equipment","https://www.nasdaq.com/symbol/ffiv",
"FN","Fabrinet","49.25","$1.81B","2010","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/fn",
"FB","Facebook, Inc.","187.48","$535.16B","2012","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/fb",
"FDS","FactSet Research Systems Inc.","302.05","$11.55B","1996","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/fds",
"FICO","Fair Isaac Corporation","305.66","$8.86B","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/fico",
"FLMN","Falcon Minerals Corporation","7.91","$679.14M","2017","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/flmn",
"FLMNW","Falcon Minerals Corporation","0.7","n/a","2017","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/flmnw",
"DAVE","Famous Dave&#39;s of America, Inc.","4.1","$38.02M","n/a","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/dave",
"SFUN","Fang Holdings Limited","0.8256","$368.8M","2010","Technology","EDP Services","https://www.nasdaq.com/symbol/sfun",
"FANH","Fanhua Inc.","31.51","$2.05B","n/a","Finance","Specialty Insurers","https://www.nasdaq.com/symbol/fanh",
"FPAC","Far Point Acquisition Corporation","10.22","$808.02M","2018","Finance","Business Services","https://www.nasdaq.com/symbol/fpac",
"FPAC.U","Far Point Acquisition Corporation","n/a","n/a","2018","n/a","n/a","https://www.nasdaq.com/symbol/fpac.u",
"FPAC.WS","Far Point Acquisition Corporation","n/a","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/fpac.ws",
"FTCH","Farfetch Limited","22.87","$6.96B","2018","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/ftch",
"FARM","Farmer Brothers Company","16.54","$281.84M","n/a","Consumer Non-Durables","Packaged Foods","https://www.nasdaq.com/symbol/farm",
"FMAO","Farmers & Merchants Bancorp, Inc.","28.49","$316.42M","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/fmao",
"FMNB","Farmers National Banc Corp.","14.12","$392.73M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/fmnb",
"FPI","Farmland Partners Inc.","6.74","$255.11M","2014","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/fpi",
"FPI^B","Farmland Partners Inc.","23.75","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/fpi^b",
"FAMI","FARMMI, INC.","1.83","$21.84M","2018","Consumer Non-Durables","Packaged Foods","https://www.nasdaq.com/symbol/fami",
"FARO","FARO Technologies, Inc.","49.56","$858.32M","1997","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/faro",
"FAST","Fastenal Company","32.4","$18.55B","1987","Consumer Services","RETAIL: Building Materials","https://www.nasdaq.com/symbol/fast",
"FSLY","Fastly, Inc.","19.17","$1.74B","2019","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/fsly",
"FAT","FAT Brands Inc.","4.42","$52.19M","2017","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/fat",
"FATE","Fate Therapeutics, Inc.","19.99","$1.3B","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/fate",
"FBSS","Fauquier Bankshares, Inc.","21.2","$80.24M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/fbss",
"FBK","FB Financial Corporation","35.39","$1.09B","2016","Finance","Major Banks","https://www.nasdaq.com/symbol/fbk",
"FFG","FBL Financial Group, Inc.","63.67","$1.57B","1996","Finance","Life Insurance","https://www.nasdaq.com/symbol/ffg",
"AGM.A","Federal Agricultural Mortgage Corporation","n/a","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/agm.a",
"AGM","Federal Agricultural Mortgage Corporation","71.67","$766.76M","n/a","Finance","Finance Companies","https://www.nasdaq.com/symbol/agm",
"AGM^A","Federal Agricultural Mortgage Corporation","25.8189","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/agm^a",
"AGM^C","Federal Agricultural Mortgage Corporation","26.58","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/agm^c",
"AGM^D","Federal Agricultural Mortgage Corporation","25.43","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/agm^d",
"FRT","Federal Realty Investment Trust","135.39","$9.91B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/frt",
"FRT^C","Federal Realty Investment Trust","24.94","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/frt^c",
"FSS","Federal Signal Corporation","26.52","$1.6B","n/a","Capital Goods","Auto Manufacturing","https://www.nasdaq.com/symbol/fss",
"FII","Federated Investors, Inc.","31.76","$3.2B","1998","Finance","Investment Managers","https://www.nasdaq.com/symbol/fii",
"FMN","Federated Premier Municipal Income Fund","13.725","$157.79M","2002","n/a","n/a","https://www.nasdaq.com/symbol/fmn",
"FDX","FedEx Corporation","166.56","$43.4B","n/a","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/fdx",
"FNHC","FedNat Holding Company","13.81","$177.27M","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/fnhc",
"FENC","Fennec Pharmaceuticals Inc.","3.92","$77.99M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/fenc",
"RACE","Ferrari N.V.","157.83","$38.54B","2015","Capital Goods","Auto Manufacturing","https://www.nasdaq.com/symbol/race",
"FGP","Ferrellgas Partners, L.P.","1.02","$99.1M","1994","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/fgp",
"FOE","Ferro Corporation","15.22","$1.25B","n/a","Basic Industries","Paints/Coatings","https://www.nasdaq.com/symbol/foe",
"GSM","Ferroglobe PLC","1.6","$270.6M","n/a","Capital Goods","Metal Fabrications","https://www.nasdaq.com/symbol/gsm",
"FFBW","FFBW, Inc.","10.54","$70.04M","2017","Finance","Savings Institutions","https://www.nasdaq.com/symbol/ffbw",
"FG","FGL Holdings","8.25","$1.83B","2017","Finance","Life Insurance","https://www.nasdaq.com/symbol/fg",
"FG.WS","FGL Holdings","n/a","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/fg.ws",
"FCAU","Fiat Chrysler Automobiles N.V.","13.64","$26.96B","2014","Capital Goods","Auto Manufacturing","https://www.nasdaq.com/symbol/fcau",
"FCSC","Fibrocell Science Inc.","2.02","$19.71M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/fcsc",
"FGEN","FibroGen, Inc","44.55","$3.84B","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/fgen",
"FDBC","Fidelity D & D Bancorp, Inc.","61.7","$233.29M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/fdbc",
"ONEQ","Fidelity Nasdaq Composite Index Tracking Stock","314.87","$2.07B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/oneq",
"FNF","Fidelity National Financial, Inc.","40.22","$11.05B","2014","Finance","Specialty Insurers","https://www.nasdaq.com/symbol/fnf",
"FIS","Fidelity National Information Services, Inc.","123.29","$39.93B","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/fis",
"LION","Fidelity Southern Corporation","30.54","$844.66M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/lion",
"FMO","Fiduciary/Claymore Energy Infrastructure Fund","9.49","$336.33M","2004","n/a","n/a","https://www.nasdaq.com/symbol/fmo",
"FDUS","Fidus Investment Corporation","15.95","$390.19M","2011","n/a","n/a","https://www.nasdaq.com/symbol/fdus",
"FDUSL","Fidus Investment Corporation","25.51","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/fdusl",
"FDUSZ","Fidus Investment Corporation","25.57","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/fdusz",
"FRGI","Fiesta Restaurant Group, Inc.","13.07","$358.8M","n/a","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/frgi",
"FITB","Fifth Third Bancorp","27.29","$19.98B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/fitb",
"FITBI","Fifth Third Bancorp","28.55","$513.9M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/fitbi",
"FISI","Financial Institutions, Inc.","27.33","$436.85M","1999","Finance","Major Banks","https://www.nasdaq.com/symbol/fisi",
"FNSR","Finisar Corporation","22.53","$2.7B","1999","Technology","Semiconductors","https://www.nasdaq.com/symbol/fnsr",
