"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"HEES","H&E Equipment Services, Inc.","28.4","$1.02B","2006","n/a","n/a","https://www.nasdaq.com/symbol/hees",
"HRB","H&R Block, Inc.","28.04","$5.66B","n/a","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/hrb",
"FUL","H. B. Fuller Company","44.87","$2.28B","n/a","Basic Industries","Home Furnishings","https://www.nasdaq.com/symbol/ful",
"HAE","Haemonetics Corporation","117.75","$6.04B","1991","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/hae",
"HLG","Hailiang Education Group Inc.","60.05","$1.55B","2015","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/hlg",
"HK","Halcon Resources Corporation","0.1829","$30.04M","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/hk",
"HK.WS","Halcon Resources Corporation","n/a","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/hk.ws",
"HNRG","Hallador Energy Company","5.58","$168.76M","n/a","Energy","Coal Mining","https://www.nasdaq.com/symbol/hnrg",
"HAL","Halliburton Company","22.88","$19.97B","n/a","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/hal",
"HALL","Hallmark Financial Services, Inc.","14.32","$259.52M","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/hall",
"HALO","Halozyme Therapeutics, Inc.","16.51","$2.4B","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/halo",
"HBB","Hamilton Beach Brands Holding Company","18.01","$249.48M","2017","Consumer Durables","Home Furnishings","https://www.nasdaq.com/symbol/hbb",
"HLNE","Hamilton Lane Incorporated","56.39","$2.87B","2017","Finance","Investment Managers","https://www.nasdaq.com/symbol/hlne",
"HJLI","Hancock Jaffe Laboratories, Inc.","1.08","$15.45M","2018","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/hjli",
"HJLIW","Hancock Jaffe Laboratories, Inc.","0.21","n/a","2018","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/hjliw",
"HWC","Hancock Whitney Corporation","39.79","$3.41B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/hwc",
"HWCPL","Hancock Whitney Corporation","25.85","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/hwcpl",
"HBI","Hanesbrands Inc.","17.55","$6.34B","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","https://www.nasdaq.com/symbol/hbi",
"HNGR","Hanger, Inc.","18.78","$699.17M","2018","Health Care","Medical Specialities","https://www.nasdaq.com/symbol/hngr",
"HAFC","Hanmi Financial Corporation","21.4","$661.86M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/hafc",
"HASI","Hannon Armstrong Sustainable Infrastructure Capital, Inc.","27.71","$1.77B","2013","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/hasi",
"HONE","HarborOne Bancorp, Inc.","17.81","$579.9M","2016","Finance","Major Banks","https://www.nasdaq.com/symbol/hone",
"HOG","Harley-Davidson, Inc.","36.01","$5.73B","n/a","Consumer Non-Durables","Motor Vehicles","https://www.nasdaq.com/symbol/hog",
"HLIT","Harmonic Inc.","5.71","$507.02M","1995","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/hlit",
"HMY","Harmony Gold Mining Company Limited","2.17","$1.15B","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/hmy",
"HARP","Harpoon Therapeutics, Inc.","12.82","$312.39M","2019","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/harp",
"HRS","Harris Corporation","199.4","$23.55B","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/hrs",
"HROW","Harrow Health, Inc.","6.56","$162.15M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/hrow",
"HSC","Harsco Corporation","27.24","$2.18B","n/a","Capital Goods","Metal Fabrications","https://www.nasdaq.com/symbol/hsc",
"HHS","Harte-Hanks, Inc.","2.48","$15.55M","1993","Technology","Advertising","https://www.nasdaq.com/symbol/hhs",
"HGH","Hartford Financial Services Group, Inc. (The)","28.51","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/hgh",
"HIG","Hartford Financial Services Group, Inc. (The)","55.63","$20.11B","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/hig",
"HIG.WS","Hartford Financial Services Group, Inc. (The)","n/a","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/hig.ws",
"HIG^G","Hartford Financial Services Group, Inc. (The)","27.34","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/hig^g",
"HBIO","Harvard Bioscience, Inc.","2.06","$77.64M","2000","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://www.nasdaq.com/symbol/hbio",
"HCAP","Harvest Capital Credit Corporation","10.25","$63.27M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/hcap",
"HCAPZ","Harvest Capital Credit Corporation","25.44","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/hcapz",
"HAS","Hasbro, Inc.","107.9","$13.58B","n/a","Consumer Non-Durables","Recreational Products/Toys","https://www.nasdaq.com/symbol/has",
"HVT.A","Haverty Furniture Companies, Inc.","n/a","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/hvt.a",
"HVT","Haverty Furniture Companies, Inc.","17.05","$350.73M","n/a","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/hvt",
"HE","Hawaiian Electric Industries, Inc.","43.72","$4.76B","n/a","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/he",
"HA","Hawaiian Holdings, Inc.","25.98","$1.25B","n/a","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/ha",
"HWKN","Hawkins, Inc.","40.51","$430.4M","n/a","Consumer Durables","Specialty Chemicals","https://www.nasdaq.com/symbol/hwkn",
"HWBK","Hawthorn Bancshares, Inc.","26.3","$165.07M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/hwbk",
"HYACU","Haymaker Acquisition Corp. II","10.1","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/hyacu",
"HAYN","Haynes International, Inc.","31.87","$398.87M","2007","Capital Goods","Steel/Iron Ore","https://www.nasdaq.com/symbol/hayn",
"HCHC","HC2 Holdings, Inc.","2.38","$108.6M","n/a","Capital Goods","Metal Fabrications","https://www.nasdaq.com/symbol/hchc",
"HCA","HCA Healthcare, Inc.","128.08","$43.84B","2011","Health Care","Hospital/Nursing Management","https://www.nasdaq.com/symbol/hca",
"HCI","HCI Group, Inc.","41.33","$351.42M","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/hci",
"HCP","HCP, Inc.","33.29","$15.91B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/hcp",
"HDS","HD Supply Holdings, Inc.","39.82","$6.8B","2013","Consumer Services","Office Equipment/Supplies/Services","https://www.nasdaq.com/symbol/hds",
"HDB","HDFC Bank Limited","128.76","$117.29B","2001","Finance","Commercial Banks","https://www.nasdaq.com/symbol/hdb",
"HHR","HeadHunter Group PLC","17.14","$857M","2019","Technology","Professional Services","https://www.nasdaq.com/symbol/hhr",
