"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"IDSY","I.D. Systems, Inc.","5.56","$101.27M","1999","Capital Goods","Telecommunications Equipment","https://www.nasdaq.com/symbol/idsy",
"IIIV","i3 Verticals, Inc.","26.36","$829.77M","2018","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/iiiv",
"IAA$","IAA, Inc.","39.78","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/iaa$",
"IAC","IAC/InterActiveCorp","225.39","$18.95B","n/a","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/iac",
"IAG","Iamgold Corporation","3.01","$1.41B","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/iag",
"IBKC","IBERIABANK Corporation","74.36","$4.05B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/ibkc",
"IBKCN","IBERIABANK Corporation","26.15","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/ibkcn",
"IBKCO","IBERIABANK Corporation","27.55","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/ibkco",
"IBKCP","IBERIABANK Corporation","27.4591","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/ibkcp",
"IBIO","iBio, Inc.","0.82","$16.16M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/ibio",
"IBO","IBO (Listing Market - NYSE Amex Network B F)","24.84","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ibo",
"ICAD","icad inc.","6","$104.28M","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/icad",
"IEP","Icahn Enterprises L.P.","73.5","$14.42B","n/a","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/iep",
"ICCH","ICC Holdings, Inc.","14.0701","$46.48M","2017","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/icch",
"ICFI","ICF International, Inc.","75.22","$1.42B","2006","Consumer Services","Professional Services","https://www.nasdaq.com/symbol/icfi",
"ICHR","Ichor Holdings","23.13","$517.64M","2016","Technology","Semiconductors","https://www.nasdaq.com/symbol/ichr",
"IBN","ICICI Bank Limited","11.93","$38.48B","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/ibn",
