"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"LRN","K12 Inc","30.19","$1.21B","n/a","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/lrn",
"KAI","Kadant Inc","90.93","$1.02B","n/a","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/kai",
"KDMN","Kadmon Holdings, Inc.","1.8","$233.06M","2016","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/kdmn",
"KALU","Kaiser Aluminum Corporation","97.46","$1.57B","n/a","Capital Goods","Metal Fabrications","https://www.nasdaq.com/symbol/kalu",
"KXIN","Kaixin Auto Holdings","2.2","$134.98M","2017","Consumer Durables","Automotive Aftermarket","https://www.nasdaq.com/symbol/kxin",
"KALA","Kala Pharmaceuticals, Inc.","5.63","$190.76M","2017","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/kala",
"KLDO","Kaleido Biosciences, Inc.","13.09","$390.18M","2019","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/kldo",
"KALV","KalVista Pharmaceuticals, Inc.","21.71","$374.44M","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/kalv",
"KMDA","Kamada Ltd.","5.45","$219.61M","2013","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/kmda",
"KAMN","Kaman Corporation","61.06","$1.71B","n/a","Consumer Durables","Industrial Specialties","https://www.nasdaq.com/symbol/kamn",
"KNDI","Kandi Technologies Group, Inc.","4.91","$258.17M","n/a","Capital Goods","Auto Manufacturing","https://www.nasdaq.com/symbol/kndi",
"KSU","Kansas City Southern","118.04","$11.87B","n/a","Transportation","Railroads","https://www.nasdaq.com/symbol/ksu",
"KSU^","Kansas City Southern","26.5795","n/a","n/a","Transportation","Railroads","https://www.nasdaq.com/symbol/ksu^",
"KAR$","KAR Auction Services, Inc","22.79","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/kar$",
"KAR","KAR Auction Services, Inc","62.65","$8.35B","2009","Consumer Durables","Automotive Aftermarket","https://www.nasdaq.com/symbol/kar",
"KPTI","Karyopharm Therapeutics Inc.","6.18","$376.14M","2013","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/kpti",
"KMF","Kayne Anderson Midstream Energy Fund, Inc","11.51","$545.05M","2010","n/a","n/a","https://www.nasdaq.com/symbol/kmf",
"KYN","Kayne Anderson MLP/Midstream Investment Company","15.21","$1.92B","2004","n/a","n/a","https://www.nasdaq.com/symbol/kyn",
"KYN^F","Kayne Anderson MLP/Midstream Investment Company","25.19","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/kyn^f",
"KZIA","Kazia Therapeutics Limited","2.4085","$11.66M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/kzia",
"KB","KB Financial Group Inc","39.15","$15.38B","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/kb",
"KBH","KB Home","25.51","$2.22B","1986","Capital Goods","Homebuilding","https://www.nasdaq.com/symbol/kbh",
"KBLM","KBL Merger Corp. IV","10.48","$102.17M","2017","Finance","Business Services","https://www.nasdaq.com/symbol/kblm",
"KBLMR","KBL Merger Corp. IV","0.2","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/kblmr",
"KBLMU","KBL Merger Corp. IV","10.6","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/kblmu",
"KBLMW","KBL Merger Corp. IV","0.1499","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/kblmw",
"KBR","KBR, Inc.","24.56","$3.47B","2006","Basic Industries","Military/Government/Technical","https://www.nasdaq.com/symbol/kbr",
"KBSF","KBS Fashion Group Limited","2.37","$6.14M","2013","Consumer Non-Durables","Apparel","https://www.nasdaq.com/symbol/kbsf",
"FRAC","Keane Group, Inc.","7.6","$797.75M","2017","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/frac",
