"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"LB","L Brands, Inc.","23.92","$6.61B","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","https://www.nasdaq.com/symbol/lb",
"FSTR","L.B. Foster Company","24.14","$255.43M","n/a","Basic Industries","Metal Fabrications","https://www.nasdaq.com/symbol/fstr",
"SCX","L.S. Starrett Company (The)","6.68","$46.04M","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/scx",
"LLL","L3 Technologies, Inc.","258.8","$20.56B","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/lll",
"LJPC","La Jolla Pharmaceutical Company","8.93","$241.99M","1994","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/ljpc",
"LH","Laboratory Corporation of America Holdings","167.99","$16.55B","n/a","Health Care","Medical Specialities","https://www.nasdaq.com/symbol/lh",
"LADR","Ladder Capital Corp","16.8","$2.01B","2014","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/ladr",
"LTS^A","Ladenburg Thalmann Financial Services Inc","24.64","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/lts^a",
"LTS","Ladenburg Thalmann Financial Services Inc","3.56","$529.37M","n/a","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/lts",
"LTSH","Ladenburg Thalmann Financial Services Inc","25.35","n/a","2019","n/a","n/a","https://www.nasdaq.com/symbol/ltsh",
"LTSK","Ladenburg Thalmann Financial Services Inc","24.7","n/a","2018","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/ltsk",
"LTSL","Ladenburg Thalmann Financial Services Inc","23.71","n/a","2017","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/ltsl",
"LTSF","Ladenburg Thalmann Financial Services Inc.","24.4","n/a","2018","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/ltsf",
"LAIX","LAIX Inc.","10","$491.52M","2018","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/laix",
"LSBK","Lake Shore Bancorp, Inc.","15","$89.7M","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/lsbk",
"LBAI","Lakeland Bancorp, Inc.","15.51","$782.34M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/lbai",
"LKFN","Lakeland Financial Corporation","45.73","$1.17B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/lkfn",
"LAKE","Lakeland Industries, Inc.","11.6137","$93.07M","1986","Health Care","Industrial Specialties","https://www.nasdaq.com/symbol/lake",
"LRCX","Lam Research Corporation","183.96","$27.58B","1984","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/lrcx",
