"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"MBTF","M B T Financial Corp","9.88","$227.6M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/mbtf",
"MTB","M&T Bank Corporation","165.86","$22.66B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/mtb",
"MTB^","M&T Bank Corporation","1025","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/mtb^",
"MTB^C","M&T Bank Corporation","1032.5","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/mtb^c",
"MDC","M.D.C. Holdings, Inc.","32.98","$2.03B","n/a","Capital Goods","Homebuilding","https://www.nasdaq.com/symbol/mdc",
"MHO","M/I Homes, Inc.","28.22","$777.99M","1993","Capital Goods","Homebuilding","https://www.nasdaq.com/symbol/mho",
"MCBC","Macatawa Bank Corporation","10.1","$343.84M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/mcbc",
"MAC","Macerich Company (The)","34.97","$4.94B","1994","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/mac",
"CLI","Mack-Cali Realty Corporation","24.05","$2.17B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/cli",
"MFNC","Mackinac Financial Corporation","15.95","$171.31M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/mfnc",
"MTSI","MACOM Technology Solutions Holdings, Inc.","13.9","$913.24M","2012","Technology","Semiconductors","https://www.nasdaq.com/symbol/mtsi",
"MFD","Macquarie First Trust Global","10.44","$89.24M","2004","n/a","n/a","https://www.nasdaq.com/symbol/mfd",
"MGU","Macquarie Global Infrastructure Total Return Fund Inc.","23.93","$298.37M","2005","n/a","n/a","https://www.nasdaq.com/symbol/mgu",
"MIC","Macquarie Infrastructure Corporation ","40.14","$3.45B","2004","Energy","Oil Refining/Marketing","https://www.nasdaq.com/symbol/mic",
"BMA","Macro Bank Inc.","65.35","$4.18B","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/bma",
