"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"OIIM","O2Micro International Limited","1.336","$35.3M","n/a","Technology","Semiconductors","https://www.nasdaq.com/symbol/oiim",
"OVLY","Oak Valley Bancorp (CA)","19","$155.99M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/ovly",
"OAK","Oaktree Capital Group, LLC","49.58","$7.92B","2012","Finance","Investment Managers","https://www.nasdaq.com/symbol/oak",
"OAK^A","Oaktree Capital Group, LLC","25.83","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/oak^a",
"OAK^B","Oaktree Capital Group, LLC","25.87","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/oak^b",
"OCSL","Oaktree Specialty Lending Corporation","5.42","$764.01M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ocsl",
"OCSLL","Oaktree Specialty Lending Corporation","25.28","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ocsll",
"OSLE","Oaktree Specialty Lending Corporation","25.48","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/osle",
"OCSI","Oaktree Strategic Income Corporation","8.42","$248.11M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ocsi",
"OMP","Oasis Midstream Partners LP","19.4","$655.63M","2017","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/omp",
"OAS","Oasis Petroleum Inc.","5.38","$1.73B","2010","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/oas",
"OASM","Oasmia Pharmaceutical AB","1.3899","$104.2M","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/oasm",
"OBLN","Obalon Therapeutics, Inc.","0.6051","$18.76M","2016","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/obln",
"OBSV","ObsEva SA","10.77","$472.68M","2017","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/obsv",
"OBE","Obsidian Energy Ltd.","1.11","$81.01M","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/obe",
"OXY","Occidental Petroleum Corporation","50.3","$37.63B","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/oxy",
"OBCI","Ocean Bio-Chem, Inc.","3.29","$30.81M","n/a","Consumer Durables","Specialty Chemicals","https://www.nasdaq.com/symbol/obci",
"OPTT","Ocean Power Technologies, Inc.","2.12","$5.92M","2007","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/optt",
"OII","Oceaneering International, Inc.","19.41","$1.92B","n/a","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/oii",
"OCFC","OceanFirst Financial Corp.","24.51","$1.26B","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/ocfc",
"OZM","Och-Ziff Capital Management Group LLC","21.53","$1.07B","2007","Finance","Investment Managers","https://www.nasdaq.com/symbol/ozm",
"OFED","Oconee Federal Financial Corp.","23.05","$132.53M","2011","Finance","Savings Institutions","https://www.nasdaq.com/symbol/ofed",
"OCUL","Ocular Therapeutix, Inc.","4.47","$191.48M","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/ocul",
"OCN","Ocwen Financial Corporation","1.73","$232.58M","n/a","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/ocn",
"ODT","Odonate Therapeutics, Inc.","26.45","$707.45M","2017","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/odt",
"OMEX","Odyssey Marine Exploration, Inc.","4.65","$42.88M","n/a","Consumer Services","Marine Transportation","https://www.nasdaq.com/symbol/omex",
