"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"PFIN","P & F Industries, Inc.","8.54","$27.04M","n/a","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/pfin",
"PTSI","P.A.M. Transportation Services, Inc.","58.5","$346.14M","1986","Transportation","Trucking Freight/Courier Services","https://www.nasdaq.com/symbol/ptsi",
"PCAR","PACCAR Inc.","71.2","$24.69B","n/a","Capital Goods","Auto Manufacturing","https://www.nasdaq.com/symbol/pcar",
"HERD","Pacer Cash Cows Fund of Funds ETF","23.6776","$2.37M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/herd",
"ECOW","Pacer Emerging Markets Cash Cows 100 ETF","24.35","$2.44M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ecow",
"VETS","Pacer Military Times Best Employers ETF","28.61","$2.86M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/vets",
"PACB","Pacific Biosciences of California, Inc.","6.27","$957.27M","2010","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://www.nasdaq.com/symbol/pacb",
"PCB","Pacific City Financial Corporation","17.1","$273.89M","2018","Finance","Major Banks","https://www.nasdaq.com/symbol/pcb",
"ROYT","Pacific Coast Oil Trust","2.1","$81.02M","2012","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/royt",
"PACD","Pacific Drilling S.A.","13.18","$988.8M","2018","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/pacd",
"PEIX","Pacific Ethanol, Inc.","0.84","$41.89M","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/peix",
"PCG^A","Pacific Gas & Electric Co.","25.7","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pcg^a",
"PCG^B","Pacific Gas & Electric Co.","22.5","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pcg^b",
"PCG^C","Pacific Gas & Electric Co.","21","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pcg^c",
"PCG^D","Pacific Gas & Electric Co.","21.05","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pcg^d",
"PCG^E","Pacific Gas & Electric Co.","21","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pcg^e",
"PCG^G","Pacific Gas & Electric Co.","20","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pcg^g",
"PCG^H","Pacific Gas & Electric Co.","19.25","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pcg^h",
"PCG^I","Pacific Gas & Electric Co.","19.8762","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pcg^i",
"PCG","Pacific Gas & Electric Co.","20.53","$10.86B","n/a","Public Utilities","Power Generation","https://www.nasdaq.com/symbol/pcg",
"PMBC","Pacific Mercantile Bancorp","8.38","$184.51M","2000","Finance","Major Banks","https://www.nasdaq.com/symbol/pmbc",
"PPBI","Pacific Premier Bancorp Inc","30.44","$1.91B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/ppbi",
"PCRX","Pacira BioSciences, Inc.","43.63","$1.8B","2011","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/pcrx",
"PKG","Packaging Corporation of America","94.46","$8.93B","2000","Consumer Durables","Containers/Packaging","https://www.nasdaq.com/symbol/pkg",
"PACW","PacWest Bancorp","38.13","$4.58B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/pacw",
"PD","PagerDuty, Inc.","54.36","$4.14B","2019","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/pd",
"PAGS","PagSeguro Digital Ltd.","36.45","$11.95B","2018","Technology","EDP Services","https://www.nasdaq.com/symbol/pags",
"PTN","Palatin Technologies, Inc.","1.31","$266.01M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/ptn",
"PANW","Palo Alto Networks, Inc.","209.12","$20.07B","2012","Technology","Computer peripheral equipment","https://www.nasdaq.com/symbol/panw",
"PLMR","Palomar Holdings, Inc.","23.84","$559.5M","2019","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/plmr",
"PAM","Pampa Energia S.A.","32.39","$2.36B","n/a","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/pam",
"PAAS","Pan American Silver Corp.","11.78","$1.81B","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/paas",
