"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"QTWO","Q2 Holdings, Inc.","78.3","$3.69B","2014","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/qtwo",
"QADA","QAD Inc.","41.44","$813.81M","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/qada",
"QADB","QAD Inc.","30.88","$606.43M","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/qadb",
"QCRH","QCR Holdings, Inc.","34.41","$542.24M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/qcrh",
"QEP","QEP Resources, Inc.","6.11","$1.45B","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/qep",
"QGEN","Qiagen N.V.","40.67","$9.23B","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/qgen",
"QIWI","QIWI plc","20.16","$1.26B","2013","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/qiwi",
"QRVO","Qorvo, Inc.","65.59","$7.82B","n/a","Technology","Semiconductors","https://www.nasdaq.com/symbol/qrvo",
"QTS","QTS Realty Trust, Inc.","46.05","$2.55B","2013","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/qts",
"QTS^A","QTS Realty Trust, Inc.","26.06","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/qts^a",
"QTS^B","QTS Realty Trust, Inc.","111.75","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/qts^b",
"QUAD","Quad Graphics, Inc","9.67","$367.26M","n/a","Miscellaneous","Publishing","https://www.nasdaq.com/symbol/quad",
"KWR","Quaker Chemical Corporation","202.04","$2.69B","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/kwr",
"QCOM","QUALCOMM Incorporated","71.8","$87.29B","1991","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/qcom",
