"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"SPGI","S&P Global Inc.","231.28","$56.94B","n/a","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/spgi",
"STBA","S&T Bancorp, Inc.","37.34","$1.28B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/stba",
"SANW","S&W Seed Company","2.66","$88.52M","n/a","Consumer Non-Durables","Farming/Seeds/Milling","https://www.nasdaq.com/symbol/sanw",
"SBR","Sabine Royalty Trust","48","$699.81M","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/sbr",
"SBRA","Sabra Health Care REIT, Inc.","20.05","$3.6B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/sbra",
"SABR","Sabre Corporation","23","$6.32B","2014","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/sabr",
"SACH","Sachem Capital Corp.","5.2","$98.31M","2017","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/sach",
"SAEX","SAExploration Holdings, Inc.","3.43","$14.72M","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/saex",
"SB","Safe Bulkers, Inc","1.45","$146.82M","2008","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/sb",
"SB^C","Safe Bulkers, Inc","20.5796","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/sb^c",
"SB^D","Safe Bulkers, Inc","20.5174","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/sb^d",
"SFE","Safeguard Scientifics, Inc.","12.44","$255.97M","n/a","Finance","Finance/Investors Services","https://www.nasdaq.com/symbol/sfe",
"SAFE","Safehold Inc.","28.65","$883.05M","2017","Consumer Services","Real Estate","https://www.nasdaq.com/symbol/safe",
"SFET","Safe-T Group Ltd.","1.6871","$4.51M","2018","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/sfet",
"SAFT","Safety Insurance Group, Inc.","98.4","$1.51B","2002","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/saft",
"SGA","Saga Communications, Inc.","28.71","$171M","n/a","Consumer Services","Broadcasting","https://www.nasdaq.com/symbol/sga",
"SAGE","Sage Therapeutics, Inc.","181.1","$9.26B","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/sage",
"SAIA","Saia, Inc.","62.82","$1.62B","n/a","Transportation","Trucking Freight/Courier Services","https://www.nasdaq.com/symbol/saia",
"SAIL","SailPoint Technologies Holdings, Inc.","19.84","$1.76B","2017","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/sail",
"SALM","Salem Media Group, Inc.","2.4","$62.85M","1999","Consumer Services","Broadcasting","https://www.nasdaq.com/symbol/salm",
"CRM","Salesforce.com Inc","157.2","$122.07B","2004","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/crm",
"SMM","Salient Midstream & MLP Fund","8.53","$151.17M","2012","n/a","n/a","https://www.nasdaq.com/symbol/smm",
"SAL","Salisbury Bancorp, Inc.","39.0125","$109.57M","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/sal",
"SBH","Sally Beauty Holdings, Inc.","14.8","$1.78B","n/a","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/sbh",
"SJT","San Juan Basin Royalty Trust","4","$186.44M","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/sjt",
