"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"WTI","W&T Offshore, Inc.","4.6","$646.96M","2005","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/wti",
"WPC","W.P. Carey Inc.","85.61","$14.59B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/wpc",
"WRB","W.R. Berkley Corporation","66.4","$12.16B","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/wrb",
"WRB^B","W.R. Berkley Corporation","25.61","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/wrb^b",
"WRB^C","W.R. Berkley Corporation","25.8","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/wrb^c",
"WRB^D","W.R. Berkley Corporation","25.41","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/wrb^d",
"WRB^E","W.R. Berkley Corporation","25.76","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/wrb^e",
"GRA","W.R. Grace & Co.","73.65","$4.93B","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/gra",
"GWW","W.W. Grainger, Inc.","274.18","$15.2B","n/a","Consumer Services","Office Equipment/Supplies/Services","https://www.nasdaq.com/symbol/gww",
"WNC","Wabash National Corporation","15.07","$835.28M","1991","Capital Goods","Construction/Ag Equipment/Trucks","https://www.nasdaq.com/symbol/wnc",
"WBC","Wabco Holdings Inc.","131.28","$6.73B","n/a","Capital Goods","Auto Manufacturing","https://www.nasdaq.com/symbol/wbc",
"WDR","Waddell & Reed Financial, Inc.","16.61","$1.25B","1998","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/wdr",
"WAGE","WageWorks, Inc.","51.78","$2.06B","2012","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/wage",
"WAFU","Wah Fu Education Group Limited","2.74","$14.25M","2019","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/wafu",
"WTRH","Waitr Holdings Inc.","6.1","$467.72M","2016","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/wtrh",
"WBA","Walgreens Boots Alliance, Inc.","52.9","$48.37B","n/a","Health Care","Medical/Nursing Services","https://www.nasdaq.com/symbol/wba",
"WD","Walker & Dunlop, Inc.","54.22","$1.67B","2010","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/wd",
"WMT","Walmart Inc.","109.62","$312.93B","n/a","Consumer Services","Department/Specialty Retail Stores","https://www.nasdaq.com/symbol/wmt",
"DIS","Walt Disney Company (The)","140.92","$253.61B","n/a","Consumer Services","Services-Misc. Amusement & Recreation","https://www.nasdaq.com/symbol/dis",
"HCC","Warrior Met Coal, Inc.","27.32","$1.41B","2017","Energy","Coal Mining","https://www.nasdaq.com/symbol/hcc",
"WAFD","Washington Federal, Inc.","33.52","$2.7B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/wafd",
"WPG","Washington Prime Group Inc.","4.1","$764.63M","2014","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/wpg",
"WPG^H","Washington Prime Group Inc.","20.66","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/wpg^h",
"WPG^I","Washington Prime Group Inc.","19","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/wpg^i",
"WRE","Washington Real Estate Investment Trust","28.29","$2.26B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/wre",
"WASH","Washington Trust Bancorp, Inc.","50.74","$879.06M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/wash",
"WCN","Waste Connections, Inc.","95.44","$25.17B","n/a","Public Utilities","Environmental Services","https://www.nasdaq.com/symbol/wcn",
"WM","Waste Management, Inc.","114.42","$48.6B","n/a","Public Utilities","Environmental Services","https://www.nasdaq.com/symbol/wm",
"WAT","Waters Corporation","210.39","$14.62B","1995","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://www.nasdaq.com/symbol/wat",
"WSBF","Waterstone Financial, Inc.","16.87","$472.06M","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/wsbf",
"WTRE","Watford Holdings Ltd.","28.16","$638.75M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/wtre",
"WSO.B","Watsco, Inc.","n/a","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/wso.b",
"WSO","Watsco, Inc.","161.13","$6.07B","n/a","Consumer Durables","Industrial Machinery/Components","https://www.nasdaq.com/symbol/wso",
"WTS","Watts Water Technologies, Inc.","89.8","$2.49B","1986","Capital Goods","Metal Fabrications","https://www.nasdaq.com/symbol/wts",
"WVE","WAVE Life Sciences Ltd.","26.93","$922.63M","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/wve",
"W","Wayfair Inc.","162.47","$14.85B","2014","Consumer Services","Catalog/Specialty Distribution","https://www.nasdaq.com/symbol/w",
"WSTG","Wayside Technology Group, Inc.","11.4","$51.43M","n/a","Technology","Retail: Computer Software & Peripheral Equipment","https://www.nasdaq.com/symbol/wstg",
"WCFB","WCF Bancorp, Inc.","8.5322","$21.86M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/wcfb",
"WDFC","WD-40 Company","162.43","$2.24B","1973","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/wdfc",
"HHHH","Wealthbridge Acquisition Limited","10.1","$75.32M","2019","Finance","Business Services","https://www.nasdaq.com/symbol/hhhh",
"HHHHR","Wealthbridge Acquisition Limited","0.22","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/hhhhr",
"HHHHU","Wealthbridge Acquisition Limited","10.05","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/hhhhu",
"HHHHW","Wealthbridge Acquisition Limited","0.0801","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/hhhhw",
"WBS","Webster Financial Corporation","46.31","$4.27B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/wbs",
"WBS^F","Webster Financial Corporation","24.91","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/wbs^f",
"WEC","WEC Energy Group, Inc.","84.94","$26.79B","n/a","Public Utilities","Power Generation","https://www.nasdaq.com/symbol/wec",
"WB","Weibo Corporation","42.22","$9.4B","2014","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/wb",
"WEI","Weidai Ltd.","9.53","$671.36M","2018","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/wei",
"WW","Weight Watchers International Inc","20.84","$1.4B","n/a","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/ww",
"WRI","Weingarten Realty Investors","28.76","$3.7B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/wri",
"WMK","Weis Markets, Inc.","36.97","$994.44M","n/a","Consumer Services","Food Chains","https://www.nasdaq.com/symbol/wmk",
"WBT","Welbilt, Inc.","15.45","$2.18B","2016","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/wbt",
"WCG","WellCare Health Plans, Inc.","296.36","$14.91B","2004","Health Care","Medical Specialities","https://www.nasdaq.com/symbol/wcg",
"WEBK","Wellesley Bancorp, Inc.","33.4","$85.19M","2012","Finance","Banks","https://www.nasdaq.com/symbol/webk",
"WFC","Wells Fargo & Company","45.65","$205.17B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/wfc",
"WFC^L","Wells Fargo & Company","1339","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/wfc^l",
