"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"XYF","X Financial","4.03","$625.89M","2018","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/xyf",
"XFOR","X4 Pharmaceuticals, Inc.","14.99","$186.19M","2017","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/xfor",
"XFLT","XAI Octagon Floating Rate & Alternative Income Term Trust","9.49","$79.24M","2017","n/a","n/a","https://www.nasdaq.com/symbol/xflt",
"XBIT","XBiotech Inc.","7.4","$303.12M","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/xbit",
"XELB","Xcel Brands, Inc","1.27","$24.02M","n/a","Miscellaneous","Multi-Sector Companies","https://www.nasdaq.com/symbol/xelb",
"XEL","Xcel Energy Inc.","60.81","$31.3B","n/a","Public Utilities","Power Generation","https://www.nasdaq.com/symbol/xel",
"XNCR","Xencor, Inc.","34.65","$1.95B","2013","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/xncr",
"XBIO","Xenetic Biosciences, Inc.","0.57","$5.95M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/xbio",
"XHR","Xenia Hotels & Resorts, Inc.","21.68","$2.44B","2015","Consumer Services","Hotels/Resorts","https://www.nasdaq.com/symbol/xhr",
"XENE","Xenon Pharmaceuticals Inc.","9.2","$237.11M","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/xene",
"XERS","Xeris Pharmaceuticals, Inc.","10.4","$280.18M","2018","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/xers",
"XRX","Xerox Corporation","34.96","$7.85B","n/a","Technology","Computer peripheral equipment","https://www.nasdaq.com/symbol/xrx",
"XLNX","Xilinx, Inc.","111.84","$28.4B","1990","Technology","Semiconductors","https://www.nasdaq.com/symbol/xlnx",
"XIN","Xinyuan Real Estate Co Ltd","4.3","$257.58M","2007","Basic Industries","Homebuilding","https://www.nasdaq.com/symbol/xin",
"XOMA","XOMA Corporation","18.51","$161.49M","1986","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/xoma",
"XPER","Xperi Corporation","19.92","$981.74M","n/a","Technology","Semiconductors","https://www.nasdaq.com/symbol/xper",
"XPO","XPO Logistics, Inc.","56.29","$5.18B","n/a","Consumer Services","Transportation Services","https://www.nasdaq.com/symbol/xpo",
"XSPA","XpresSpa Group, Inc. ","1.8","$3.52M","n/a","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/xspa",
"XTNT","Xtant Medical Holdings, Inc.","2.965","$39.02M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/xtnt",
"XTLB","XTL Biopharmaceuticals Ltd.","2.05","$10.54M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/xtlb",
"XNET","Xunlei Limited","2.71","$182.76M","2014","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/xnet",
"XYL","Xylem Inc.","81.53","$14.67B","2011","Capital Goods","Fluid Controls","https://www.nasdaq.com/symbol/xyl",
"XYN","Xynomic Pharmaceuticals Holdings, Inc.","3.4","$157.63M","2017","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/xyn",
"XYNPW","Xynomic Pharmaceuticals Holdings, Inc.","0.2","n/a","2017","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/xynpw",
