"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"AUY","Yamana Gold Inc.","2.43","$2.31B","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/auy",
"YNDX","Yandex N.V.","39.42","$12.88B","2011","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/yndx",
"YRIV","Yangtze River Port and Logistics Limited ","0.538","$95.52M","n/a","Finance","Real Estate","https://www.nasdaq.com/symbol/yriv",
"YTRA","Yatra Online, Inc.","3.99","$181.15M","n/a","Consumer Services","Transportation Services","https://www.nasdaq.com/symbol/ytra",
"YELP","Yelp Inc.","33.14","$2.56B","2012","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/yelp",
"YETI","YETI Holdings, Inc.","28.25","$2.39B","2018","Consumer Non-Durables","Recreational Products/Toys","https://www.nasdaq.com/symbol/yeti",
"YEXT","Yext, Inc.","20.36","$2.26B","2017","Technology","EDP Services","https://www.nasdaq.com/symbol/yext",
"YTEN","Yield10 Bioscience, Inc.","0.8373","$10.46M","n/a","Basic Industries","Containers/Packaging","https://www.nasdaq.com/symbol/yten",
"YIN","Yintech Investment Holdings Limited","4.44","$317.16M","2016","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/yin",
"YRD","Yirendai Ltd.","14.24","$876.68M","2015","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/yrd",
"YMAB","Y-mAbs Therapeutics, Inc.","21.47","$734.14M","2018","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/ymab",
"YOGA","YogaWorks, Inc.","0.725","$12.17M","2017","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/yoga",
"YGYI","Youngevity International, Inc.","6.03","$174.21M","n/a","Consumer Services","Catalog/Specialty Distribution","https://www.nasdaq.com/symbol/ygyi",
"YPF","YPF Sociedad Anonima","18.25","$7.18B","1993","Energy","Integrated oil Companies","https://www.nasdaq.com/symbol/ypf",
"YRCW","YRC Worldwide, Inc.","4.09","$141.4M","n/a","Transportation","Trucking Freight/Courier Services","https://www.nasdaq.com/symbol/yrcw",
"YUMC","Yum China Holdings, Inc.","46.23","$17.49B","2016","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/yumc",
"YUM","Yum! Brands, Inc.","110.62","$33.85B","n/a","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/yum",
"YUMA","Yuma Energy, Inc.","0.2103","$4.87M","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/yuma",
"YJ","Yunji Inc.","10.61","$2.29B","2019","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/yj",
"YY","YY Inc.","71.03","$5.6B","2012","Technology","EDP Services","https://www.nasdaq.com/symbol/yy",
