"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"ZFGN","Zafgen, Inc.","1.35","$50.39M","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/zfgn",
"ZAGG","ZAGG Inc","6.99","$203.18M","n/a","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/zagg",
"ZLAB","Zai Lab Limited","33.49","$1.95B","2017","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/zlab",
"ZAYO","Zayo Group Holdings, Inc.","32.86","$7.74B","2014","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/zayo",
"ZEAL","Zealand Pharma A/S","20.9807","$666.15M","2017","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/zeal",
"ZBRA","Zebra Technologies Corporation","201.12","$10.86B","1991","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/zbra",
"ZDGE","Zedge, Inc.","1.66","$17.19M","2016","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/zdge",
"ZEN","Zendesk, Inc.","92.66","$10.15B","2014","Technology","EDP Services","https://www.nasdaq.com/symbol/zen",
"Z","Zillow Group, Inc.","46.76","$6.58B","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/z",
"ZG","Zillow Group, Inc.","45.99","$9.44B","2011","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/zg",
"ZBH","Zimmer Biomet Holdings, Inc.","119.71","$24.52B","n/a","Health Care","Industrial Specialties","https://www.nasdaq.com/symbol/zbh",
"ZN","Zion Oil & Gas Inc","0.4","$29.19M","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/zn",
"ZNWAA","Zion Oil & Gas Inc","n/a","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/znwaa",
"ZB^A","Zions Bancorporation N.A.","23.2","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/zb^a",
"ZB^G","Zions Bancorporation N.A.","27.64","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/zb^g",
"ZB^H","Zions Bancorporation N.A.","25.62","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/zb^h",
"ZBK","Zions Bancorporation N.A.","28.41","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/zbk",
"ZION","Zions Bancorporation N.A.","44.4","$8.11B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/zion",
"ZIONW","Zions Bancorporation N.A.","12.06","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/zionw",
"ZIOP","ZIOPHARM Oncology Inc","5.82","$945.14M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/ziop",
"ZIXI","Zix Corporation","9.99","$554.92M","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/zixi",
"ZKIN","ZK International Group Co., Ltd","1.4","$23.18M","2017","Capital Goods","Metal Fabrications","https://www.nasdaq.com/symbol/zkin",
"ZTS","Zoetis Inc.","112.97","$54.07B","2013","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/zts",
"ZGNX","Zogenix, Inc.","40.91","$1.74B","2010","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/zgnx",
"ZOM","Zomedica Pharmaceuticals Corp.","0.2461","$26.59M","2017","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/zom",
"ZM","Zoom Video Communications, Inc.","102.3","$27.87B","2019","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/zm",
"ZSAN","Zosano Pharma Corporation","3.07","$54.41M","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/zsan",
"ZVO","Zovio Inc.","3.55","$107.27M","n/a","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/zvo",
"ZS","Zscaler, Inc.","79.18","$9.95B","2018","Technology","EDP Services","https://www.nasdaq.com/symbol/zs",
"ZTO","ZTO Express (Cayman) Inc.","19.17","$15.1B","2016","Transportation","Trucking Freight/Courier Services","https://www.nasdaq.com/symbol/zto",
"ZUMZ","Zumiez Inc.","25.55","$657.68M","2005","Consumer Services","Clothing/Shoe/Accessory Stores","https://www.nasdaq.com/symbol/zumz",
"ZUO","Zuora, Inc.","15.71","$1.75B","2018","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/zuo",
"ZYME","Zymeworks Inc.","20.05","$642.84M","2017","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/zyme",
"ZYNE","Zynerba Pharmaceuticals, Inc.","13.49","$284.3M","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/zyne",
"ZYXI","Zynex, Inc.","10.99","$354.37M","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://www.nasdaq.com/symbol/zyxi",
"ZNGA","Zynga Inc.","6.07","$5.68B","2011","Technology","EDP Services","https://www.nasdaq.com/symbol/znga",
